customer_id,customer_full_name,customer_segment,customer_address,customer_city,customer_state,customer_country
00001,Richard Hernandez,Consumer,6303 Heather Plaza,Brownsville,TX,United States
00002,Mary Barrett,Consumer,9526 Noble Embers Ridge,Littleton,CO,United States
00003,Ann Smith,Consumer,3422 Blue Pioneer Bend,Caguas,PR,Puerto Rico
00004,Mary Jones,Consumer,8324 Little Common,San Marcos,CA,United States
00005,Robert Hudson,Home Office,10 Crystal River Mall,Caguas,PR,Puerto Rico
00006,Mary Smith,Consumer,3151 Sleepy Quail Promenade,Passaic,NJ,United States
00007,Melissa Wilcox,Corporate,9453 High Concession,Caguas,PR,Puerto Rico
00008,Megan Smith,Corporate,3047 Foggy Forest Plaza,Lawrence,MA,United States
00009,Mary Perez,Consumer,3616 Quaking Street,Caguas,PR,Puerto Rico
00010,Melissa Smith,Corporate,8598 Harvest Beacon Plaza,Stafford,VA,United States
00011,Mary Huffman,Consumer,3169 Stony Woods,Caguas,PR,Puerto Rico
00012,Christopher Smith,Corporate,5594 Jagged Embers By-pass,San Antonio,TX,United States
00013,Mary Baldwin,Home Office,7922 Iron Oak Gardens,Caguas,PR,Puerto Rico
00014,Katherine Smith,Corporate,5666 Hazy Pony Square,Pico Rivera,CA,United States
00015,Jane Luna,Corporate,673 Burning Glen,Fontana,CA,United States
00016,Tiffany Smith,Corporate,6651 Iron Port,Caguas,PR,Puerto Rico
00017,Mary Robinson,Consumer,1325 Noble Pike,Taylor,MI,United States
00018,Robert Smith,Consumer,2734 Hazy Butterfly Circle,Martinez,CA,United States
00019,Stephanie Mitchell,Home Office,3543 Red Treasure Bay,Caguas,PR,Puerto Rico
00020,Mary Ellis,Consumer,4703 Old Route,West New York,NJ,United States
00021,William Zimmerman,Consumer,3323 Old Willow Mall,Caguas,PR,Puerto Rico
00022,Joseph Smith,Corporate,7740 Broad Fox Villas,North Bergen,NJ,United States
00023,Benjamin Duarte,Corporate,8811 High Horse Impasse,San Juan,PR,Puerto Rico
00024,Mary Smith,Home Office,9417 Emerald Towers,Caguas,PR,Puerto Rico
00025,Paul Richardson,Home Office,318 Merry Creek Mountain,Peoria,AZ,United States
00026,Johnny Hood,Consumer,9576 Middle Hills Round,Glenview,IL,United States
00027,Mary Vincent,Consumer,1768 Sleepy Zephyr Place,Caguas,PR,Puerto Rico
00028,Timothy Smith,Consumer,9366 Colonial Horse Close,Longview,WA,United States
00029,Mary Humphrey,Consumer,2469 Blue Brook Crossing,Fort Worth,TX,United States
00030,Barbara Smith,Home Office,2455 Merry Hollow,Caguas,PR,Puerto Rico
00031,Mary Byrd,Consumer,8259 Foggy Edge,Albuquerque,NM,United States
00032,Alice Smith,Corporate,2082 Hidden Green,Caguas,PR,Puerto Rico
00033,Adam Petersen,Consumer,9768 Noble Horse Heights,Norfolk,VA,United States
00034,Mary Smith,Corporate,3330 Easy Berry Range,Caguas,PR,Puerto Rico
00035,Margaret Wright,Consumer,9456 Sleepy Jetty,Oceanside,CA,United States
00036,Michelle Carey,Corporate,6336 Fallen Village,Caguas,PR,Puerto Rico
00037,Virginia Conrad,Consumer,6115 Indian Beacon Close,Norfolk,VA,United States
00038,Mary Smith,Consumer,2805 Crystal Moor,Opelousas,LA,United States
00039,Juan Mckinney,Consumer,7274 Blue Wagon  Villas,Caguas,PR,Puerto Rico
00040,Mary Smith,Consumer,7358 Rocky Villas,Long Beach,CA,United States
00041,Victoria Mason,Consumer,7869 Crystal View Villas,Brooklyn,NY,United States
00042,Ethan Smith,Consumer,7533 Thunder Wagon  Beach,Duluth,GA,United States
00043,Mary Herring,Corporate,4575 Thunder Dale,Caguas,PR,Puerto Rico
00044,Howard Smith,Corporate,1356 Easy Plaza,Napa,CA,United States
00045,Mary Nunez,Consumer,1229 Bright Robin Corners,Denver,CO,United States
00046,Jennifer Smith,Consumer,5463 Rocky Autoroute,Freeport,NY,United States
00047,Lori Fuller,Home Office,357 Noble Lane,Caguas,PR,Puerto Rico
00048,Mary Cowan,Consumer,1040 Hazy Timber Lookout,Strongsville,OH,United States
00049,Martha Smith,Consumer,7449 Merry Chase,Caguas,PR,Puerto Rico
